Supplier_Name,Region,Country,Functions,Service,Avg_Cost,Rating,Average_Delivery_Time,Number_of_Escalations,Years,Resources
IBM,LM,Germany,HR,S6,165000,74,135,30,2016,7000
IBM,PQ,Germany,consulting,S5,100000,78,210,20,2018,7000
Oracle,LM,UK,NULL,S3,175000,79,120,20,2017,6000
Wipro,BC,UK,Finance,S7,100000,88,270,40,2018,3000
Zogho,XY,France,Finance,S7,125000,82,150,40,2019,10000
Oracle,XX,Australia,Finance,S4,165000,75,135,35,2018,5000
Wipro,AB,UK,administration,S5,125000,74,135,15,2016,9000
HCL,AB,Japan,RandD,S5,150000,92,180,15,2021,7000
Capgemini,LM,Australia,ITandInfrastructure,S3,100000,87,210,20,2017,4000
Genpact,AB,UAE,NULL,S3,125000,74,150,15,2022,6000
Accenture,NULL,India,testing,S3,150000,100,270,30,2017,9000
Infosys,XX,UK,consulting,NULL,115000,82,100,50,2022,8000
TATA,AB,France,RandD,S1,115000,89,135,30,2017,5000
Wipro,XX,Germany,HR,S7,150000,86,180,25,2020,9000
Accenture,BC,India,Finance,S5,165000,92,270,15,2019,4000
TATA,AB,UAE,ITandInfrastructure,S5,150000,84,100,25,2021,8000
Infosys,NULL,Germany,consulting,S3,165000,94,270,35,2021,3000
IBM,AB,Germany,NULL,S4,125000,87,270,20,2017,8000
Oracle,AB,Japan,Finance,S3,115000,90,270,50,2018,6000
Zogho,AB,UAE,RandD,S5,200000,75,210,30,2022,6000
Genpact,AB,UAE,RandD,S4,100000,93,120,20,2019,10000
Zogho,BC,Australia,NULL,S3,175000,87,150,35,2022,5000
Infosys,PQ,UAE,administration,S1,165000,89,135,15,2021,3000
Genpact,NN,US,HR,S3,115000,90,100,40,2020,7000
IBM,LM,Australia,testing,S5,200000,76,120,20,2016,5000
Accenture,AB,India,Finance,S6,115000,71,100,50,2016,7000
IBM,NULL,France,administration,S6,175000,75,210,50,2016,8000
Zogho,AB,US,Finance,S1,100000,92,150,40,2018,6000
Oracle,XX,India,administration,S7,150000,92,150,35,2017,9000
Oracle,BC,UAE,administration,S6,175000,79,180,45,2016,6000
Genpact,AB,Canada,NULL,S1,115000,78,210,45,2021,4000
Infosys,PQ,Japan,RandD,NULL,115000,91,270,35,2021,8000
Infosys,AB,US,ITandInfrastructure,NULL,125000,90,120,40,2018,6000
Zogho,XY,Japan,consulting,S1,200000,81,210,40,2022,5000
Infosys,AB,US,administration,S3,175000,78,180,40,2018,9000
Wipro,NN,US,HR,S2,125000,80,150,40,2017,10000
TATA,NULL,US,consulting,S2,175000,87,135,30,2017,5000
Accenture,NULL,UAE,consulting,S4,115000,94,150,45,2016,8000
Oracle,AB,India,Finance,NULL,150000,89,120,15,2021,7000
IBM,PQ,Australia,Finance,S5,165000,97,270,45,2020,3000
IBM,NN,India,consulting,NULL,175000,83,180,25,2021,9000
Genpact,AB,UK,administration,S7,165000,80,270,20,2017,5000
TATA,LM,India,testing,S2,200000,91,210,30,2016,4000
HCL,LM,US,testing,S7,175000,90,120,40,2016,6000
HCL,AB,UAE,ITandInfrastructure,S3,125000,84,100,50,2017,3000
IBM,AB,UK,RandD,NULL,125000,73,270,50,2020,7000
Wipro,NN,UK,NULL,S4,115000,92,120,15,2019,6000
Infosys,XY,India,consulting,S1,150000,85,100,15,2020,3000
Oracle,AB,UAE,NULL,S4,125000,70,135,15,2019,10000
Genpact,BC,UAE,testing,S4,175000,73,100,50,2021,6000
Zogho,LM,Japan,testing,S5,100000,100,180,25,2017,3000
TATA,NN,US,consulting,S3,175000,78,120,15,2018,3000
Accenture,XX,Germany,testing,S3,125000,93,100,45,2020,3000
Oracle,NN,France,testing,S7,125000,77,135,50,2019,9000
TATA,XX,Japan,testing,S4,125000,76,180,50,2018,8000
Zogho,BC,India,ITandInfrastructure,S3,150000,78,120,15,2017,8000
IBM,LM,Australia,ITandInfrastructure,S7,125000,83,100,35,2017,7000
Zogho,XX,UAE,testing,NULL,125000,75,180,30,2016,3000
HCL,AB,UAE,HR,S6,150000,78,180,40,2016,5000
Wipro,NULL,India,testing,S1,175000,76,210,20,2017,10000
Accenture,NULL,Japan,consulting,NULL,150000,92,270,50,2022,7000
Oracle,XX,Germany,testing,S7,150000,89,120,40,2020,10000
Accenture,NULL,Germany,NULL,S3,100000,75,100,45,2022,9000
Oracle,NN,Canada,ITandInfrastructure,S6,115000,80,135,20,2017,10000
Wipro,PQ,Germany,HR,S2,115000,86,120,50,2018,4000
IBM,XX,Germany,RandD,S2,175000,94,120,20,2016,8000
Infosys,PQ,Japan,NULL,S7,165000,87,180,35,2016,10000
Zogho,LM,Canada,RandD,S6,125000,92,270,40,2018,5000
Accenture,BC,Germany,NULL,S1,200000,95,180,30,2016,3000
IBM,PQ,UAE,consulting,S4,165000,85,120,25,2022,3000
Zogho,NN,US,administration,S7,100000,90,210,45,2016,6000
Infosys,LM,Australia,RandD,S3,200000,98,270,45,2016,7000
TATA,AB,Japan,Finance,S1,125000,75,210,15,2022,4000
Capgemini,XX,Japan,NULL,S7,115000,79,120,40,2017,3000
Accenture,NULL,UAE,administration,S7,125000,99,135,15,2021,8000
TATA,LM,India,RandD,S2,165000,79,270,45,2019,4000
Capgemini,LM,UK,Finance,S5,150000,79,135,30,2017,3000
TATA,BC,Australia,testing,S2,100000,84,180,30,2018,5000
Zogho,BC,Australia,consulting,S1,100000,71,120,25,2021,10000
Accenture,NULL,US,ITandInfrastructure,NULL,175000,86,120,15,2019,9000
HCL,NN,UAE,HR,S7,100000,94,210,35,2021,7000
TATA,XX,Canada,ITandInfrastructure,S1,175000,77,100,40,2016,5000
Wipro,PQ,France,NULL,S4,125000,85,270,25,2022,8000
HCL,PQ,UK,ITandInfrastructure,NULL,175000,72,120,35,2022,8000
HCL,PQ,UAE,Finance,NULL,165000,93,180,35,2017,9000
Capgemini,NULL,US,Finance,S2,150000,74,100,30,2018,3000
Oracle,NN,Australia,ITandInfrastructure,S7,115000,79,150,40,2016,10000
Wipro,LM,India,consulting,S6,165000,91,210,35,2022,9000
Infosys,XY,US,NULL,S5,125000,93,270,45,2016,8000
TATA,XY,UK,RandD,S1,175000,86,135,35,2016,10000
Zogho,NULL,UK,administration,S5,100000,86,270,50,2021,7000
IBM,XY,Japan,consulting,NULL,150000,78,210,25,2016,5000
Wipro,BC,Canada,Finance,S7,115000,88,135,45,2022,10000
Capgemini,PQ,Canada,administration,S1,150000,76,135,50,2019,10000
Accenture,LM,UAE,consulting,S3,150000,86,180,35,2019,9000
IBM,BC,Germany,RandD,NULL,125000,89,100,20,2020,10000
Genpact,NULL,UAE,HR,S3,115000,71,210,20,2016,10000
Infosys,NN,Canada,administration,S2,100000,94,180,25,2020,5000
TATA,LM,Germany,Finance,S7,165000,81,120,30,2017,4000
TATA,LM,Germany,Finance,S7,175000,91,120,15,2016,3000
Accenture,NULL,UK,HR,NULL,165000,72,100,40,2018,10000
Accenture,XX,Germany,consulting,S4,150000,72,210,45,2016,8000
TATA,PQ,Germany,ITandInfrastructure,S5,150000,85,135,15,2018,5000
Accenture,NULL,UK,HR,S2,100000,99,100,40,2016,3000
Accenture,XX,UK,consulting,NULL,150000,81,120,15,2021,5000
HCL,XX,India,administration,S7,150000,76,180,35,2022,7000
Capgemini,AB,Canada,consulting,S7,175000,96,180,15,2016,3000
Wipro,LM,Germany,HR,S5,115000,87,180,30,2017,8000
Genpact,AB,Japan,administration,S6,200000,93,180,40,2022,8000
Zogho,NULL,US,Finance,S1,165000,93,270,45,2022,8000
Oracle,XY,India,consulting,S6,200000,78,100,40,2021,5000
Infosys,NN,Japan,testing,S4,200000,93,270,15,2019,3000
Capgemini,BC,Japan,consulting,S5,150000,99,135,50,2021,5000
HCL,PQ,India,RandD,NULL,175000,70,100,25,2021,6000
Infosys,NN,US,consulting,S5,165000,81,100,40,2020,10000
Genpact,LM,UAE,testing,S7,100000,73,150,15,2017,6000
Oracle,AB,France,HR,S5,100000,82,120,20,2018,4000
Genpact,XX,UAE,testing,S4,175000,91,120,25,2021,7000
Zogho,NULL,UAE,Finance,S5,165000,84,270,30,2021,10000
Capgemini,NN,Canada,administration,NULL,125000,82,210,40,2020,6000
Zogho,XX,UK,RandD,S5,150000,97,150,20,2016,9000
HCL,AB,France,testing,S2,165000,98,270,40,2021,7000
IBM,NN,Germany,ITandInfrastructure,S3,125000,72,100,30,2022,5000
Accenture,PQ,Canada,administration,S6,100000,70,180,30,2016,10000
Zogho,XY,France,testing,S6,125000,92,210,50,2016,8000
IBM,NN,Germany,Finance,NULL,200000,77,180,20,2020,5000
Genpact,XY,Japan,Finance,S4,150000,76,180,15,2022,10000
Capgemini,XX,Canada,ITandInfrastructure,NULL,150000,80,180,15,2022,10000
Accenture,PQ,UK,RandD,S7,150000,76,135,20,2019,10000
IBM,NULL,Japan,Finance,S3,100000,89,150,20,2021,8000
Oracle,NULL,India,testing,NULL,175000,74,210,45,2021,5000
Genpact,PQ,US,Finance,S1,175000,72,180,30,2021,10000
Oracle,XX,UK,testing,S6,115000,85,150,35,2018,3000
Oracle,NULL,France,administration,S4,150000,90,180,40,2022,7000
Infosys,NULL,US,testing,S2,200000,100,100,45,2018,8000
IBM,LM,France,NULL,S2,150000,76,120,30,2020,3000
Accenture,BC,UAE,consulting,S5,100000,95,210,20,2021,6000
IBM,LM,UK,administration,NULL,115000,81,210,20,2019,4000
Wipro,AB,Japan,NULL,S3,175000,73,210,40,2017,7000
TATA,NULL,France,Finance,S2,125000,91,135,20,2022,6000
Capgemini,BC,France,testing,S1,150000,87,120,30,2016,9000
Infosys,NULL,Canada,testing,S6,200000,77,100,45,2017,3000
Zogho,NULL,France,NULL,S2,200000,88,135,45,2016,8000
Accenture,PQ,Japan,Finance,S1,100000,70,135,15,2017,3000
TATA,NN,US,Finance,NULL,125000,97,210,15,2016,10000
IBM,NULL,UAE,consulting,S6,115000,96,150,45,2016,5000
HCL,XY,UAE,NULL,S2,150000,75,150,40,2019,10000
Oracle,PQ,Japan,Finance,S7,175000,87,150,45,2019,10000
TATA,PQ,Germany,administration,S7,115000,76,150,20,2021,6000
Zogho,AB,US,testing,S4,175000,71,150,40,2019,6000
Genpact,AB,UAE,HR,S2,200000,78,210,30,2017,10000
Zogho,XX,UK,NULL,S3,115000,96,120,20,2018,10000
Wipro,XX,Australia,RandD,S5,100000,99,120,20,2017,6000
Infosys,LM,UK,consulting,S1,100000,79,270,35,2017,6000
Accenture,BC,Germany,NULL,S6,100000,73,180,15,2021,10000
Infosys,XY,Australia,consulting,S7,150000,78,180,15,2021,7000
Infosys,NN,India,consulting,S3,150000,96,210,25,2017,8000
Zogho,LM,Australia,administration,NULL,150000,80,210,25,2022,7000
Oracle,NULL,Germany,consulting,S4,100000,91,120,40,2019,7000
Zogho,PQ,France,ITandInfrastructure,S3,165000,88,135,35,2020,10000
Infosys,LM,Canada,testing,NULL,150000,82,100,45,2021,3000
HCL,AB,Germany,HR,S1,125000,84,150,30,2017,9000
HCL,LM,India,NULL,S1,165000,74,210,20,2018,3000
Oracle,AB,US,NULL,NULL,165000,78,210,50,2020,10000
Wipro,AB,Japan,consulting,S7,200000,76,270,35,2022,8000
Accenture,AB,Germany,Finance,S6,200000,98,150,15,2019,9000
Wipro,NULL,France,RandD,NULL,175000,76,135,25,2018,6000
Wipro,BC,US,testing,NULL,125000,95,135,35,2022,5000
IBM,XY,UK,NULL,S7,150000,91,180,45,2018,4000
Zogho,XY,Germany,testing,S6,125000,75,180,30,2017,6000
TATA,NULL,UAE,administration,S5,175000,97,150,40,2020,6000
Infosys,BC,Japan,administration,S1,175000,71,210,20,2018,4000
Capgemini,LM,UK,administration,S1,115000,75,180,35,2019,8000
TATA,NULL,UAE,consulting,NULL,100000,81,100,45,2018,9000
HCL,BC,France,RandD,S3,150000,97,150,50,2020,5000
Wipro,XY,India,HR,S1,200000,70,100,15,2020,4000
Accenture,NULL,France,HR,S5,200000,89,270,50,2022,5000
Capgemini,BC,India,NULL,S7,100000,83,135,25,2017,9000
Accenture,XX,Japan,NULL,S7,125000,70,210,25,2019,10000
TATA,NULL,Canada,RandD,S6,175000,74,120,50,2016,6000
Capgemini,PQ,Japan,HR,S3,100000,98,180,30,2020,7000
IBM,NULL,US,NULL,S6,200000,90,180,15,2016,5000
Infosys,NN,France,administration,S6,150000,88,100,30,2018,7000
Accenture,AB,France,administration,S7,200000,87,210,30,2020,4000
Accenture,LM,Japan,HR,S3,100000,80,135,20,2019,6000
TATA,LM,India,HR,S3,115000,99,150,30,2018,4000
TATA,XX,US,Finance,S7,125000,76,150,40,2016,9000
Wipro,PQ,UAE,administration,S7,165000,71,135,25,2018,6000
Oracle,AB,India,consulting,S3,125000,96,100,20,2019,7000
Zogho,NULL,India,testing,NULL,200000,80,120,20,2019,5000
Oracle,AB,UAE,Finance,S5,125000,83,270,30,2018,5000
Infosys,NN,India,NULL,S3,115000,93,100,35,2017,3000
Wipro,BC,UK,administration,S4,200000,86,180,30,2019,4000
IBM,NN,Germany,testing,NULL,200000,81,180,30,2016,8000
HCL,XX,Japan,administration,S7,165000,81,270,25,2018,7000
Zogho,BC,UAE,consulting,S3,200000,75,150,20,2022,5000
Oracle,LM,India,RandD,S5,165000,86,100,40,2019,8000
Capgemini,LM,India,NULL,S6,175000,83,120,50,2016,9000
Genpact,AB,Canada,administration,S2,150000,79,100,40,2019,5000
IBM,PQ,US,HR,S1,150000,96,180,15,2020,9000
IBM,LM,UK,HR,S1,100000,83,135,50,2016,10000
Oracle,AB,Germany,RandD,S7,115000,74,180,20,2016,3000
Capgemini,AB,France,Finance,S7,125000,81,210,30,2017,7000
Genpact,BC,UAE,administration,S7,200000,92,135,50,2022,3000
Accenture,NN,UAE,consulting,NULL,165000,86,150,20,2018,9000
HCL,XY,Canada,HR,S4,115000,83,180,25,2018,6000
Wipro,AB,Australia,HR,S5,200000,88,180,50,2020,7000
Zogho,XX,India,administration,S1,200000,97,120,20,2020,7000
TATA,NN,France,ITandInfrastructure,S2,175000,92,120,25,2018,8000
Infosys,NULL,Canada,HR,S4,100000,79,210,35,2020,7000
Oracle,NN,India,testing,S4,165000,100,135,40,2016,6000
TATA,XY,India,consulting,S6,175000,74,135,25,2019,4000
Infosys,XX,UK,Finance,S7,175000,96,135,40,2019,9000
Infosys,AB,Germany,ITandInfrastructure,S7,175000,85,210,40,2020,4000
Infosys,NULL,Japan,ITandInfrastructure,S6,200000,97,100,35,2017,8000
Infosys,XX,France,Finance,S6,125000,79,180,35,2022,10000
TATA,BC,France,RandD,S4,115000,98,180,40,2018,3000
TATA,LM,India,RandD,S4,125000,75,120,30,2019,3000
Infosys,PQ,Canada,testing,S4,150000,89,100,40,2020,7000
Wipro,AB,Australia,NULL,S5,175000,74,210,30,2016,9000
Infosys,NULL,US,ITandInfrastructure,S3,200000,83,270,15,2022,5000
IBM,AB,US,testing,S7,125000,77,150,20,2021,8000
Oracle,NULL,France,administration,S5,175000,93,100,20,2022,9000
Oracle,XX,Germany,Finance,S5,200000,79,120,45,2021,6000
Oracle,NN,US,RandD,S1,175000,71,120,50,2020,10000
Wipro,XX,UAE,NULL,S2,165000,89,120,20,2019,7000
Genpact,LM,Canada,HR,NULL,200000,79,150,35,2021,5000
Accenture,BC,India,testing,NULL,100000,85,100,25,2018,3000
Zogho,BC,UK,HR,S1,150000,82,210,25,2020,7000
Capgemini,PQ,Australia,testing,S2,150000,96,120,45,2022,3000
Genpact,NULL,Germany,testing,S4,150000,98,180,40,2020,6000
Infosys,XY,France,testing,S3,115000,73,210,25,2022,7000
IBM,NULL,India,NULL,S4,150000,86,270,15,2018,6000
Oracle,LM,India,RandD,S1,125000,98,150,45,2019,4000
Capgemini,XY,UK,testing,S5,165000,93,100,50,2018,5000
Genpact,XY,UAE,ITandInfrastructure,S5,150000,76,180,45,2021,10000
Genpact,XX,Australia,ITandInfrastructure,S5,125000,71,135,25,2022,7000
Oracle,XY,India,consulting,S1,150000,70,100,30,2019,8000
TATA,BC,Japan,HR,S5,115000,84,120,20,2020,3000
Wipro,LM,Germany,testing,S7,175000,77,180,25,2018,4000
Wipro,NN,Germany,HR,NULL,175000,72,100,15,2021,4000
Accenture,XY,Japan,consulting,S3,200000,83,180,25,2017,5000
Infosys,XY,US,HR,S3,200000,80,100,50,2020,8000
Zogho,NN,Germany,consulting,S6,165000,95,270,30,2020,4000
Wipro,XX,UK,NULL,S2,115000,90,100,20,2016,3000
Capgemini,LM,UAE,HR,S1,100000,71,150,15,2022,3000
Oracle,LM,India,administration,S1,165000,89,120,15,2020,4000
Infosys,XY,India,Finance,S1,100000,100,100,30,2018,6000
Accenture,AB,UK,NULL,NULL,165000,72,210,30,2016,3000
Accenture,XY,Germany,administration,S6,150000,78,210,25,2021,3000
