Supplier_Name,Region,Country,Functions,Service,Avg_Cost,Rating,Average_Delivery_Time,Number_of_Escalations,Years,Resources
Zogho,LM,UK,ITandInfrastructure,S7,150000,83,120,50,2020,6000
Genpact,XX,UK,ITandInfrastructure,S4,100000,74,210,50,2021,5000
Genpact,AB,Germany,RandD,S5,125000,92,135,30,2021,6000
Zogho,AB,US,ITandInfrastructure,NULL,200000,92,270,15,2019,9000
IBM,XX,Australia,HR,S7,125000,84,150,35,2020,10000
Zogho,XY,Japan,testing,S6,165000,73,135,15,2017,9000
Infosys,NULL,Australia,NULL,S1,150000,83,210,30,2018,6000
Accenture,PQ,UAE,administration,S5,200000,77,120,40,2016,7000
HCL,PQ,India,RandD,S7,200000,82,100,40,2016,6000
Accenture,NULL,US,RandD,S6,200000,84,180,20,2021,3000
TATA,XY,India,Finance,S5,175000,84,120,50,2016,4000
Accenture,NULL,Canada,consulting,S3,165000,72,270,30,2018,5000
HCL,AB,France,testing,S6,165000,86,150,20,2021,10000
Zogho,NN,Canada,consulting,S3,125000,100,270,15,2016,8000
Wipro,XY,US,ITandInfrastructure,S6,100000,71,100,25,2022,10000
Capgemini,LM,Japan,HR,S5,125000,92,100,20,2022,4000
Capgemini,AB,UK,NULL,S2,165000,75,180,45,2021,5000
Oracle,NN,India,ITandInfrastructure,S2,100000,71,120,25,2020,4000
Wipro,BC,France,consulting,S6,125000,92,270,45,2020,4000
Accenture,NN,India,RandD,S1,165000,97,120,20,2018,7000
Oracle,XX,Germany,RandD,S1,175000,89,135,25,2017,8000
Wipro,NULL,UK,ITandInfrastructure,S3,100000,95,100,50,2019,7000
Zogho,NULL,Germany,administration,S6,200000,72,150,50,2018,3000
Accenture,NULL,US,HR,S1,150000,78,100,50,2021,3000
Genpact,XX,Australia,Finance,NULL,165000,95,150,35,2020,7000
Wipro,NN,India,RandD,S3,175000,81,135,15,2020,4000
Infosys,NN,Australia,consulting,NULL,115000,71,100,15,2019,3000
Accenture,NULL,Germany,consulting,S7,200000,91,135,50,2017,10000
Capgemini,XY,US,administration,NULL,100000,87,100,35,2016,4000
Zogho,NULL,UAE,HR,S4,200000,95,210,30,2016,5000
Accenture,BC,Canada,consulting,S1,150000,78,120,30,2021,10000
Capgemini,LM,Japan,Finance,S5,165000,85,150,45,2019,4000
Accenture,PQ,India,administration,S1,100000,80,270,35,2022,7000
HCL,NN,US,ITandInfrastructure,S5,100000,97,270,40,2022,10000
Oracle,XY,Australia,consulting,NULL,175000,78,270,40,2016,3000
IBM,NN,Japan,consulting,S2,165000,70,180,20,2016,4000
Zogho,XY,Germany,administration,S1,175000,89,210,20,2021,3000
IBM,XX,Canada,ITandInfrastructure,S1,165000,100,135,20,2022,3000
Genpact,PQ,Canada,HR,S4,200000,77,210,20,2017,4000
Capgemini,XX,Japan,consulting,S7,200000,100,135,40,2019,3000
Wipro,XX,India,RandD,S1,100000,87,120,25,2020,7000
TATA,PQ,Canada,ITandInfrastructure,S3,150000,85,270,30,2017,8000
Wipro,LM,India,testing,S5,175000,73,120,45,2022,10000
Infosys,XX,Canada,testing,S3,125000,78,270,15,2016,5000
Oracle,LM,UK,Finance,S1,200000,83,210,25,2018,10000
Genpact,PQ,UK,HR,S4,200000,82,210,15,2019,5000
Capgemini,BC,UK,NULL,S6,175000,95,120,25,2017,3000
Wipro,XX,India,administration,NULL,200000,88,100,40,2016,7000
Wipro,BC,Japan,HR,S5,115000,73,270,40,2019,3000
Oracle,BC,UK,NULL,S5,200000,97,135,30,2017,3000
Zogho,LM,US,consulting,S2,200000,77,150,15,2017,3000
IBM,LM,Japan,consulting,NULL,125000,94,210,50,2019,7000
Accenture,NN,UK,testing,S6,165000,89,100,20,2021,6000
Accenture,AB,UAE,testing,S7,100000,98,270,25,2020,8000
Accenture,LM,India,administration,S6,100000,99,135,40,2020,5000
Zogho,NULL,UAE,ITandInfrastructure,S1,165000,81,270,25,2018,10000
Zogho,NN,UK,HR,S5,175000,92,180,40,2017,9000
IBM,LM,Japan,administration,S3,100000,77,135,50,2019,4000
Infosys,XY,Canada,ITandInfrastructure,NULL,200000,99,270,45,2016,9000
Accenture,XY,US,testing,S4,150000,100,100,40,2021,10000
Zogho,NULL,France,NULL,S4,200000,93,135,15,2016,10000
Wipro,AB,France,HR,S4,175000,97,120,20,2020,7000
Zogho,NN,Japan,administration,S3,200000,73,120,50,2022,6000
Accenture,NN,Germany,testing,S4,165000,83,150,15,2022,5000
HCL,XY,US,RandD,S3,115000,71,120,20,2016,3000
IBM,XX,Japan,RandD,S1,115000,94,100,40,2018,6000
Oracle,NN,Japan,ITandInfrastructure,S5,125000,90,270,45,2017,9000
Wipro,NULL,UAE,Finance,S6,115000,81,210,40,2020,10000
Infosys,BC,UK,ITandInfrastructure,S7,150000,82,210,25,2021,8000
Zogho,XY,Canada,Finance,S4,200000,88,120,45,2017,9000
Wipro,AB,Canada,testing,S4,150000,77,150,30,2019,5000
HCL,NULL,Japan,ITandInfrastructure,S5,125000,71,180,40,2018,9000
Oracle,LM,UK,administration,S5,165000,88,135,15,2016,5000
Zogho,PQ,US,NULL,S5,125000,83,120,40,2018,7000
Infosys,PQ,France,ITandInfrastructure,S2,100000,94,180,35,2019,8000
Oracle,LM,Australia,testing,S6,150000,77,100,20,2022,8000
Oracle,NN,India,ITandInfrastructure,S4,100000,77,150,15,2022,10000
Zogho,BC,US,NULL,S1,165000,70,135,35,2020,5000
Zogho,PQ,UK,ITandInfrastructure,S7,200000,87,100,40,2019,5000
Accenture,XY,Australia,administration,S4,150000,87,135,20,2016,7000
HCL,PQ,US,RandD,S1,165000,70,120,25,2017,6000
Genpact,PQ,Germany,administration,S4,100000,98,180,50,2022,7000
HCL,NULL,Germany,administration,S2,100000,87,135,50,2020,9000
Capgemini,XX,US,consulting,S1,115000,86,270,45,2018,7000
Wipro,NN,Japan,NULL,NULL,115000,87,100,40,2017,7000
Capgemini,NN,US,consulting,S6,100000,94,120,50,2020,7000
HCL,NN,India,ITandInfrastructure,S1,165000,92,135,25,2019,7000
Zogho,PQ,Japan,ITandInfrastructure,S1,115000,91,210,15,2017,10000
IBM,NN,India,RandD,S4,100000,74,120,25,2017,5000
IBM,AB,UK,testing,S6,175000,95,135,30,2019,8000
Zogho,XX,France,ITandInfrastructure,S2,115000,98,210,50,2016,4000
IBM,BC,Canada,testing,S6,125000,84,150,30,2020,8000
Zogho,NN,US,HR,S1,150000,86,210,25,2018,7000
Oracle,LM,US,HR,S2,100000,94,210,25,2016,8000
Accenture,NN,UK,administration,S6,125000,74,135,35,2021,3000
Wipro,XX,India,administration,NULL,115000,94,180,25,2018,10000
Genpact,PQ,India,administration,S4,100000,94,270,35,2019,8000
Zogho,AB,Germany,ITandInfrastructure,S7,200000,91,120,15,2020,9000
Oracle,LM,Canada,testing,S3,100000,91,270,15,2016,4000
Zogho,XX,India,administration,S4,150000,78,135,40,2017,10000
IBM,XX,Japan,consulting,S2,150000,79,135,35,2022,5000
Accenture,LM,India,RandD,S1,175000,84,120,20,2022,7000
Infosys,XY,UK,NULL,NULL,100000,82,180,35,2021,3000
IBM,NULL,UK,administration,S3,150000,92,210,40,2017,10000
Genpact,NN,Germany,NULL,S1,200000,88,135,30,2016,4000
Capgemini,LM,Japan,ITandInfrastructure,S1,100000,91,270,30,2016,4000
HCL,BC,UK,HR,S6,200000,89,135,30,2020,9000
Wipro,XX,US,RandD,S2,175000,99,210,30,2019,4000
HCL,AB,UK,consulting,S7,175000,73,135,45,2022,7000
Infosys,XX,India,ITandInfrastructure,S2,150000,77,150,15,2016,6000
Genpact,XY,Australia,administration,S1,100000,72,100,15,2022,7000
IBM,AB,UAE,RandD,S4,100000,89,180,50,2018,4000
Oracle,XY,Japan,administration,S6,200000,92,135,25,2020,8000
Capgemini,AB,Australia,HR,S6,150000,95,210,15,2020,6000
Oracle,XY,India,NULL,S3,200000,84,270,15,2021,8000
Accenture,XX,UAE,consulting,S2,165000,82,150,45,2016,4000
Oracle,PQ,Germany,consulting,S5,175000,92,135,25,2021,6000
Zogho,NN,Canada,Finance,S5,175000,75,120,50,2020,7000
TATA,NN,France,consulting,S3,165000,91,150,30,2017,5000
Infosys,AB,UAE,ITandInfrastructure,NULL,125000,73,180,25,2017,8000
Zogho,PQ,UAE,ITandInfrastructure,S1,175000,91,100,45,2021,4000
IBM,XX,Japan,HR,S3,150000,80,180,45,2021,7000
Wipro,XX,India,Finance,S2,125000,86,180,50,2017,5000
Genpact,AB,UK,testing,S5,200000,76,120,35,2016,6000
Genpact,XY,UK,administration,S7,115000,84,270,20,2020,4000
Accenture,NN,India,ITandInfrastructure,NULL,125000,73,210,35,2016,3000
Zogho,BC,UK,HR,S2,165000,99,100,45,2020,7000
Accenture,LM,Germany,ITandInfrastructure,S2,115000,80,100,25,2020,9000
HCL,XY,UK,HR,S2,125000,94,270,15,2019,4000
Oracle,XY,Germany,consulting,S4,115000,73,135,40,2017,8000
Genpact,LM,Germany,Finance,S3,165000,99,180,25,2017,4000
Genpact,AB,UK,NULL,S3,115000,83,150,45,2022,8000
Oracle,XY,Canada,NULL,S7,200000,85,210,40,2018,4000
Infosys,XX,UK,HR,S7,100000,78,210,50,2018,10000
IBM,XX,Australia,HR,NULL,150000,88,180,45,2020,3000
HCL,AB,France,administration,S1,200000,99,270,20,2021,6000
IBM,LM,India,ITandInfrastructure,S4,175000,83,100,40,2021,7000
Zogho,AB,Japan,testing,S2,165000,75,120,30,2020,9000
IBM,PQ,Japan,testing,S2,175000,82,270,50,2017,9000
Oracle,AB,Japan,testing,S1,115000,89,120,25,2016,6000
TATA,NULL,Canada,administration,S1,115000,98,100,15,2022,10000
Oracle,NN,India,Finance,S1,125000,73,100,15,2021,10000
Wipro,PQ,US,consulting,S1,175000,72,135,25,2020,6000
Zogho,AB,Canada,NULL,S6,200000,70,210,25,2016,7000
TATA,BC,France,administration,NULL,100000,95,180,30,2020,7000
Oracle,BC,India,NULL,S7,115000,91,120,35,2018,7000
Infosys,BC,Japan,RandD,S1,125000,88,135,20,2021,7000
Zogho,AB,Australia,ITandInfrastructure,S1,150000,72,150,35,2018,8000
TATA,LM,India,RandD,S5,125000,72,120,50,2021,10000
IBM,NN,Germany,HR,S2,100000,99,210,45,2017,6000
Infosys,XX,Germany,Finance,S1,100000,71,210,40,2021,7000
IBM,PQ,France,consulting,S1,100000,100,210,20,2020,8000
Capgemini,NN,UAE,ITandInfrastructure,S6,115000,75,270,35,2016,7000
Accenture,AB,US,Finance,S5,175000,89,210,25,2022,9000
Zogho,XY,Germany,HR,S1,165000,96,270,15,2016,9000
Oracle,PQ,UAE,HR,NULL,125000,90,270,25,2018,9000
Capgemini,NULL,France,HR,S5,115000,94,120,25,2018,6000
Genpact,XY,Germany,testing,S5,200000,71,210,35,2022,5000
TATA,XX,France,ITandInfrastructure,S4,165000,74,210,20,2020,3000
Accenture,LM,Japan,Finance,S4,150000,72,270,15,2020,4000
Genpact,XY,Japan,consulting,S4,125000,96,150,35,2017,8000
HCL,XX,Germany,administration,S5,175000,79,270,40,2020,6000
Oracle,XY,UAE,HR,S2,100000,89,210,50,2018,8000
Wipro,XY,Germany,administration,S5,175000,76,180,30,2021,3000
Capgemini,LM,US,RandD,S7,200000,87,210,20,2021,8000
HCL,NN,US,ITandInfrastructure,S5,150000,100,210,15,2021,5000
Capgemini,AB,UK,HR,S6,200000,89,210,30,2017,3000
Zogho,PQ,Australia,RandD,S2,165000,99,210,45,2022,8000
TATA,BC,UK,administration,S6,150000,86,210,20,2021,4000
TATA,XX,Australia,HR,S4,100000,75,270,15,2020,4000
TATA,PQ,UK,consulting,S7,200000,87,100,25,2020,6000
Wipro,AB,UK,HR,NULL,165000,97,180,50,2021,3000
HCL,AB,Japan,ITandInfrastructure,S3,165000,92,270,40,2022,10000
Infosys,XX,Germany,testing,S2,125000,85,210,30,2022,10000
Capgemini,PQ,Japan,RandD,S1,175000,97,180,25,2018,7000
IBM,XX,Australia,ITandInfrastructure,S6,100000,84,210,45,2020,5000
Wipro,XX,UAE,NULL,S5,115000,94,180,30,2021,4000
Infosys,XX,France,NULL,S6,150000,98,120,45,2019,4000
Accenture,XY,Australia,HR,S2,100000,97,150,25,2022,8000
Accenture,LM,Australia,consulting,S7,165000,75,210,45,2016,10000
Capgemini,AB,Germany,RandD,S6,200000,97,210,30,2017,7000
Zogho,AB,France,RandD,S4,125000,77,180,20,2017,9000
Infosys,NN,Japan,RandD,S1,100000,87,135,35,2021,3000
Zogho,PQ,India,ITandInfrastructure,S6,200000,78,210,20,2016,8000
Wipro,XX,Germany,NULL,NULL,150000,92,270,50,2022,4000
HCL,BC,Japan,Finance,S2,175000,78,135,35,2019,3000
Wipro,NULL,UK,ITandInfrastructure,S1,175000,85,100,35,2019,10000
Infosys,LM,India,ITandInfrastructure,S1,200000,96,180,45,2018,9000
IBM,PQ,Canada,HR,S1,150000,97,270,25,2021,3000
IBM,PQ,Japan,Finance,S6,165000,70,135,15,2017,8000
Oracle,AB,Germany,ITandInfrastructure,S6,165000,85,180,50,2018,8000
Zogho,XY,France,administration,S1,125000,89,210,45,2021,8000
Capgemini,LM,India,RandD,S4,100000,89,180,35,2017,7000
Zogho,XX,UAE,HR,NULL,165000,81,150,15,2022,8000
IBM,PQ,Canada,HR,S1,175000,96,270,45,2021,6000
TATA,LM,UAE,RandD,S4,100000,76,180,40,2016,9000
Accenture,XY,India,administration,S7,165000,79,135,45,2016,8000
Genpact,NULL,UAE,HR,S7,150000,94,135,30,2019,6000
Oracle,NN,UK,Finance,S3,115000,77,100,50,2020,7000
HCL,XY,UAE,administration,S3,115000,77,150,45,2016,8000
Infosys,LM,Japan,HR,S5,115000,91,120,35,2021,6000
Oracle,AB,France,administration,S3,100000,75,135,30,2016,9000
Capgemini,XX,Germany,Finance,S1,150000,96,150,20,2020,6000
Oracle,LM,Australia,Finance,S1,150000,85,150,20,2020,4000
IBM,XY,Canada,administration,S6,125000,78,120,40,2020,5000
TATA,PQ,UAE,ITandInfrastructure,S4,175000,81,270,15,2018,3000
Oracle,BC,Germany,RandD,S6,115000,76,100,40,2020,3000
Accenture,LM,Japan,administration,S4,125000,75,135,30,2020,3000
TATA,NN,Australia,NULL,S7,100000,70,100,25,2017,6000
IBM,NULL,Australia,administration,S5,115000,97,180,50,2019,6000
TATA,PQ,India,Finance,S1,150000,76,120,30,2021,7000
IBM,XX,UAE,NULL,S4,165000,81,150,40,2018,7000
IBM,XY,UAE,RandD,NULL,200000,76,100,50,2018,5000
HCL,PQ,US,testing,S7,175000,92,100,50,2019,3000
Infosys,PQ,Germany,ITandInfrastructure,S5,100000,76,135,45,2021,6000
HCL,BC,France,testing,S1,100000,89,120,35,2021,10000
Infosys,BC,UK,ITandInfrastructure,S5,150000,78,135,40,2019,4000
Genpact,XY,UAE,consulting,S6,115000,93,270,50,2019,5000
Wipro,PQ,UAE,RandD,S5,165000,93,180,20,2016,7000
Oracle,NN,US,RandD,S7,100000,90,100,20,2016,6000
Accenture,LM,Germany,RandD,NULL,125000,85,210,20,2016,4000
Accenture,AB,France,administration,S1,100000,91,150,15,2017,9000
Oracle,NN,Australia,consulting,S1,200000,72,150,40,2022,8000
Accenture,LM,UK,testing,S3,150000,81,270,30,2021,9000
Wipro,XX,US,administration,S1,175000,86,180,15,2019,10000
Infosys,PQ,Germany,consulting,S5,100000,78,210,50,2016,10000
Genpact,LM,US,HR,S4,125000,81,150,30,2020,4000
HCL,NULL,Australia,RandD,S1,175000,86,120,20,2016,4000
Wipro,NULL,France,ITandInfrastructure,S4,165000,86,100,40,2020,5000
Infosys,PQ,UK,consulting,S6,100000,100,150,45,2017,7000
Capgemini,NULL,UK,Finance,S5,150000,88,120,50,2019,10000
Accenture,NULL,US,HR,S5,200000,70,150,15,2017,10000
Zogho,AB,UAE,NULL,S2,200000,85,100,25,2020,8000
TATA,XY,Germany,HR,S7,150000,82,120,45,2020,3000
HCL,XY,Australia,administration,S4,175000,83,180,35,2017,5000
IBM,NULL,India,HR,S7,165000,97,120,15,2022,7000
Wipro,PQ,Canada,HR,S4,100000,98,270,45,2022,5000
Genpact,NULL,Japan,HR,S5,165000,97,135,20,2018,5000
Oracle,BC,Germany,consulting,S3,200000,98,180,20,2022,8000
TATA,NULL,UK,ITandInfrastructure,S3,100000,89,210,20,2019,8000
Infosys,XX,Australia,HR,S2,115000,74,210,50,2019,5000
IBM,XX,UK,ITandInfrastructure,S4,165000,73,135,35,2017,9000
Wipro,PQ,UAE,HR,S1,115000,70,270,20,2021,7000
Wipro,BC,UK,HR,S1,150000,77,150,45,2019,10000
Genpact,NULL,Germany,RandD,NULL,175000,89,210,30,2017,6000
Zogho,PQ,UK,RandD,S5,115000,92,150,20,2022,5000
TATA,XY,Canada,HR,NULL,165000,92,135,20,2017,9000
Genpact,NN,UAE,NULL,S3,115000,91,210,15,2017,7000
Accenture,BC,UK,HR,S5,100000,70,100,30,2019,9000
HCL,XY,UAE,consulting,NULL,125000,74,135,35,2017,4000
